model,dataset,split,category,acc,pairwise_acc,pairwise_acc_50,pairwise_acc_60,pairwise_acc_70,precision_caption,precision_foil
ALBEF,ARO,active,,0.5207860922146637,0.600151171579743,0.4089191232048375,0.3378684807256236,0.2751322751322751,0.6870748299319728,0.3544973544973545
ALBEF,ARO,active,body_action,0.5195876288659794,0.5855670103092784,0.3484536082474226,0.2659793814432989,0.1969072164948453,0.6206185567010309,0.4185567010309278
ALBEF,ARO,active,contact,0.5160256410256411,0.7051282051282052,0.6858974358974359,0.6538461538461539,0.5897435897435898,0.9551282051282052,0.0769230769230769
ALBEF,ARO,active,perception,0.6086956521739131,0.6956521739130435,0.6956521739130435,0.6521739130434783,0.6086956521739131,1.0,0.217391304347826
ALBEF,ARO,active,communication,0.5,0.0,0.0,0.0,0.0,1.0,0.0
ALBEF,ARO,active,motion_direction,0.5,0.6190476190476191,0.5238095238095238,0.4285714285714285,0.3809523809523809,0.7619047619047619,0.238095238095238
ALBEF,ARO,active,motion_manner,0.5263157894736842,0.4736842105263157,0.3333333333333333,0.2807017543859649,0.2631578947368421,0.7368421052631579,0.3157894736842105
ALBEF,ARO,active,change_state,0.5294117647058824,0.7450980392156863,0.6274509803921569,0.6078431372549019,0.5490196078431373,0.7843137254901961,0.2745098039215686
ALBEF,ARO,active,social,0.625,0.5,0.5,0.25,0.25,1.0,0.25
ALBEF,ARO,active,change_location,0.4782608695652174,0.5217391304347826,0.5217391304347826,0.5217391304347826,0.5217391304347826,0.8695652173913043,0.0869565217391304
ALBEF,ARO,active,state_of_being,0.5384615384615384,0.6153846153846154,0.3076923076923077,0.2307692307692307,0.2307692307692307,0.6153846153846154,0.4615384615384615
ALBEF,ARO,passive,,0.5102040816326531,0.4950869236583522,0.2781557067271353,0.2207105064247921,0.1685563114134542,0.5238095238095238,0.4965986394557823
ALBEF,ARO,passive,body_action,0.506701030927835,0.4989690721649484,0.2185567010309278,0.1505154639175257,0.0958762886597938,0.4020618556701031,0.6113402061855671
ALBEF,ARO,passive,contact,0.532051282051282,0.5064102564102564,0.4871794871794871,0.4679487179487179,0.4038461538461538,0.9294871794871796,0.1346153846153846
ALBEF,ARO,passive,perception,0.5434782608695652,0.6521739130434783,0.6521739130434783,0.6521739130434783,0.6086956521739131,0.9565217391304348,0.1304347826086956
ALBEF,ARO,passive,communication,0.5,1.0,1.0,1.0,1.0,1.0,0.0
ALBEF,ARO,passive,motion_direction,0.4523809523809524,0.1904761904761904,0.1904761904761904,0.1428571428571428,0.1428571428571428,0.7619047619047619,0.1428571428571428
ALBEF,ARO,passive,motion_manner,0.5,0.3508771929824561,0.3333333333333333,0.3333333333333333,0.2807017543859649,0.8421052631578947,0.1578947368421052
ALBEF,ARO,passive,change_state,0.5098039215686274,0.4901960784313725,0.2941176470588235,0.2156862745098039,0.196078431372549,0.6274509803921569,0.392156862745098
ALBEF,ARO,passive,social,0.5,0.5,0.5,0.5,0.5,1.0,0.0
ALBEF,ARO,passive,change_location,0.5,0.6086956521739131,0.6086956521739131,0.6086956521739131,0.6086956521739131,1.0,0.0
ALBEF,ARO,passive,state_of_being,0.6153846153846154,0.5384615384615384,0.4615384615384615,0.3076923076923077,0.2307692307692307,0.6153846153846154,0.6153846153846154
ALBEF,VALSE,active,,0.4981751824817518,0.4507299270072992,0.1788321167883211,0.1514598540145985,0.1240875912408759,0.2810218978102189,0.7153284671532847
ALBEF,VALSE,active,body_action,0.4512195121951219,0.2926829268292683,0.0975609756097561,0.0975609756097561,0.0975609756097561,0.3170731707317073,0.5853658536585366
ALBEF,VALSE,active,communication,0.4857142857142857,0.5714285714285714,0.1714285714285714,0.1714285714285714,0.1571428571428571,0.2,0.7714285714285715
ALBEF,VALSE,active,change_state,0.5224719101123596,0.3820224719101123,0.2359550561797752,0.2134831460674157,0.1573033707865168,0.348314606741573,0.6966292134831461
